coin,time,status,weekly_velocity,weekly_direction,daily_direction,blockers,zone,origin,terminal,targets
BTC,1774022400000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774036800000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774051200000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774065600000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774080000000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774094400000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774108800000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774123200000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774137600000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774152000000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
BTC,1774166400000,rejected,,,,weekly_warmup_unknown;daily_structure_unknown;impulse_unavailable;zone_unavailable;reaction_absent;two_objectives_unavailable;hourly_stop_unknown,null,,,[]
